Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Trevor Peek,Chepe Mariscal,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Larry Folsom,Derek Cleary 27 - 30. Troy Wincapaw 27 - 30. Chris Lee 27 - 30.,Lightweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,-16,9,-14,-1,-2,10,-4,4,-2,7,-2,-7,0,-3,-1,-1,0,-1.483333333,-28,0,-29,-4,1,4,0,3,-2,2,2,-3,0,-1,-3,0,0,-1.683333333,-36,8,-17,-6,-19,14,-22,5,-2,-11,-8,0,0,0,-4,0,0,-0.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamall Emmers,Jack Jenkins,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Troy Wincapaw 30 - 27. Chris Lee 28 - 29. Sal D'amato 28 - 29.,Featherweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,1,28,0,0,1,28,-2,3,0,1,0,0,0,0,1,0,0,0,-2,14,1,1,-3,13,1,1,-5,-4,0,1,0,-1,0,0,1,-0.033333333,-8,-2,-8,1,0,-3,1,0,-1,1,0,-1,0,1,4,0,1,4.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Brundage,Sedriques Dumas,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Troy Wincapaw 27 - 30. Eric Colon 28 - 29. Derek Cleary 27 - 30.,Middleweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,-28,-7,-18,-4,-10,-3,-10,-1,1,1,0,-11,0,1,0,0,-1,-4.25,-10,1,-6,-5,-4,6,-2,0,-2,-2,0,-2,0,0,1,0,0,-3.683333333,-8,-1,-8,0,0,-1,1,-1,0,1,-1,0,0,1,1,1,0,-1.316666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Vettori,Jared Cannonier,0,1,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 45 - 49. Ben Cartlidge 45 - 49. Sal D'amato 46 - 48.,Middleweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,5,9,-4,0,0,9,-4,17,-5,-3,9,0,0,0,0,0,0,0,0,-70,-18,-12,-1,-58,-17,-41,-13,-4,-36,-10,-12,0,0,0,0,0,-0.766666667,-21,-13,-3,0,-18,-13,-13,-5,0,-11,-6,-1,0,0,-1,0,0,-0.333333333,13,8,-1,0,14,8,10,1,3,15,-1,0,0,0,0,0,0,-0.083333333,-26,-2,0,0,-26,-2,-23,-2,-1,-14,-5,-7,0,-2,0,0,0,-0.983333333
Arman Tsarukyan,Joaquim Silva,1,0,KO/TKO,3,3:25,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Mount,Lightweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,1,0,-9,0,10,0,8,3,-1,1,1,8,0,1,0,0,0,4.433333333,-2,9,-19,-1,17,10,15,1,1,15,-1,3,0,1,0,0,0,1.783333333,58,13,28,6,30,7,30,0,0,5,-3,28,0,2,1,0,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armen Petrosyan,Christian Leroy Duncan,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,Middleweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,10,5,0,0,10,5,0,0,10,9,1,0,0,0,1,0,0,0,21,4,5,1,16,3,13,6,-3,6,9,1,0,0,-3,0,0,0.383333333,7,-4,3,0,4,-4,1,1,2,4,0,0,0,1,0,0,0,1.816666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Sabatini,Lucas Almeida,1,0,Submission,2,1:48,3 Rnd (5-5-5),Chris Tognoni,Arm Triangle From Mount,Featherweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,2,80,8,57,1,23,7,23,0,0,0,0,23,0,1,0,0,0,4.833333333,5,-1,3,0,2,-1,2,0,0,0,1,1,0,1,1,1,0,1.616666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Torres,Nikolas Motta,1,0,KO/TKO,1,1:50,3 Rnd (5-5-5),Herb Dean,Elbow to Head At Distance,Lightweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,1,6,-3,0,0,6,-3,0,5,1,5,0,1,1,0,0,0,0,0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Dalby,Muslim Salikhov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,-5,5,1,0,-6,5,-7,-5,6,-10,4,0,0,-1,0,0,0,-0.183333333,6,6,-1,0,7,6,4,2,1,-2,6,3,0,0,2,0,0,2.9,33,12,5,0,28,12,10,18,0,8,16,4,0,1,1,0,0,2.966666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,Alessandro Costa,0,1,KO/TKO,2,1:03,3 Rnd (5-5-5),Keith Peterson,Elbows to Head From Half Guard,Flyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,2,-40,-1,0,0,-40,-1,-21,-7,-12,-39,0,-1,-1,0,3,0,0,-0.033333333,-11,-3,0,-1,-11,-2,-10,0,-1,-1,0,-10,0,0,1,0,0,-0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyung Ho Kang,Cristian Quinonez,1,0,Submission,1,2:25,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Bantamweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,1,18,-1,9,0,9,-1,3,3,3,4,0,5,1,1,0,1,0,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Hernandez,Denys Bondar,1,0,Decision - Unanimous,3,4:59,3 Rnd (5-5-5),Jerin Valel,Technical decision after clash of heads Ben Cartlidge 27 - 30. Anthony Maness 27 - 30. Junichiro Kamijo 28 - 29.,Flyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,14,10,1,0,13,10,22,-6,-3,12,1,0,0,0,1,0,0,0,-3,27,3,0,-6,27,3,-7,-2,-8,3,-1,0,-1,1,0,0,-0.1,15,0,-4,0,19,0,25,-4,-2,6,6,7,0,1,0,0,0,0.283333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tereza Bleda,Gabriella Fernandes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Sal D'amato 27 - 30. Tony Weeks 27 - 30.,Women's Flyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,47,21,40,6,7,15,4,1,2,1,2,4,0,1,1,0,0,3.033333333,22,6,10,1,12,5,9,5,-2,-2,5,9,0,1,3,0,0,4.316666667,65,2,50,4,15,-2,14,1,0,-4,-1,20,0,1,3,0,0,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Argueta,Ronnie Lawrence,1,0,Overturned,1,2:20,3 Rnd (5-5-5),Keith Peterson,Submission win for Argueta overturned on replay,Bantamweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,1,10,-1,7,0,3,-1,3,1,-1,0,0,3,0,1,0,2,1,2.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zac Pauga,Modestas Bukauskas,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,6,-2,4,0,2,-2,2,0,0,-1,2,1,0,1,2,0,0,2.066666667,4,4,0,0,4,4,-4,7,1,5,-1,0,0,0,1,0,0,0.15,0,-9,-5,-1,5,-8,-5,8,2,4,1,0,0,0,1,0,0,-1.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Nunes,Irene Aldana,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 44 - 50. Mike Bell 44 - 50. Chris Lee 43 - 50.,UFC Women's Bantamweight Title Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,5,13,12,0,0,13,12,4,9,0,13,0,0,0,0,1,0,0,0.016666667,20,3,0,0,20,3,12,7,1,19,1,0,0,1,1,0,0,0.083333333,17,10,2,0,15,10,13,3,-1,11,1,3,0,3,1,0,0,2.033333333,-21,20,-50,-2,29,22,20,3,6,44,3,-18,0,0,2,0,0,-4.383333333,53,6,35,2,18,4,16,2,0,1,0,17,0,1,1,0,0,4.6
Charles Oliveira,Beneil Dariush,1,0,KO/TKO,1,4:10,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground,Lightweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,1,5,-17,-9,-11,14,-6,15,0,-1,1,3,10,1,0,1,0,0,-2.216666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Malott,Adam Fugitt,1,0,Submission,2,1:06,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke On Ground,Welterweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,2,0,3,-7,0,7,3,5,3,-1,7,0,0,0,2,0,0,0,1.283333333,3,0,0,0,3,0,2,1,0,3,0,0,1,0,0,1,1,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Ige,Nate Landwehr,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 27 - 30. Sal D'amato 28 - 29. Mike Bell 28 - 29.,Featherweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,2,-1,0,0,2,-1,-1,3,0,5,-3,0,0,0,-2,0,0,0,11,-2,0,0,11,-2,8,3,0,11,-3,3,1,0,-1,0,0,0.366666667,1,-22,0,0,1,-22,0,0,1,7,-6,0,0,0,-1,0,0,-0.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Eryk Anders,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Mike Bell 27 - 30. Chris Lee 27 - 30.,Middleweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,-1,-6,6,0,-7,-6,5,-12,0,0,-9,2,1,0,-4,0,0,-1,0,10,0,0,0,10,-1,3,-2,6,-6,0,0,-1,-2,0,0,-0.983333333,17,7,-2,0,19,7,16,2,1,20,-1,0,0,0,-4,0,0,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassourdine Imavov,Chris Curtis,1,0,Could Not Continue,2,3:04,3 Rnd (5-5-5),Jason Herzog,Accidental Head Butt,Middleweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,2,11,-10,-3,0,14,-10,10,-1,5,13,1,0,0,3,1,1,0,2.116666667,14,2,-3,0,17,2,13,1,3,15,2,0,0,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda Maverick,Jasmine Jasudavicius,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Sal Ram 28 - 29. Chris Lee 28 - 29.,Women's Flyweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,7,-17,-3,-11,10,-6,-1,5,6,7,3,0,0,-1,1,0,0,-2.683333333,-32,-19,-35,-13,3,-6,2,-3,4,8,-5,0,0,0,1,0,0,-3.35,-22,-20,-5,-5,-17,-15,-20,0,3,-12,-4,-1,0,0,1,0,0,-1.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Aoriqileng,1,0,KO/TKO,1,1:04,3 Rnd (5-5-5),John Cooper,Punch to Head At Distance,Bantamweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,1,0,3,0,0,0,3,5,-1,-4,-2,0,2,1,0,0,0,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Nelson,Blake Bilder,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal Ram,Jerin Valel 27 - 30. Mike Bell 27 - 30. Jason Darrah 28 - 29.,Featherweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,-14,-1,-11,0,-3,-1,-5,6,-4,-5,2,0,0,0,-1,0,0,0.933333333,11,2,4,0,7,2,4,4,-1,7,0,0,0,0,-1,0,0,-1.233333333,2,-9,-8,0,10,-9,-1,8,3,10,0,0,0,0,0,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Dvorak,Steve Erceg,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mitch Cadlick,Sal D'amato 28 - 29. Jake Maxim 28 - 29. Jerin Valel 27 - 30.,Flyweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,4,-14,0,0,4,-14,0,2,2,4,0,0,0,0,0,0,0,0,5,-7,0,0,5,-7,1,-2,6,4,-1,2,0,0,-1,-1,0,1.1,-9,-4,1,0,-10,-4,-3,-6,-1,-8,-2,0,0,-2,2,0,0,-0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Belbita,Maria Oliveira,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30. Jason Darrah 27 - 30. Chris Lee 28 - 29.,Women's Strawweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,24,1,11,-4,13,5,11,-2,4,5,4,4,0,-1,0,0,0,-0.966666667,30,0,15,-5,15,5,4,10,1,0,12,3,0,0,1,0,0,-1.133333333,15,-12,1,0,14,-12,11,1,2,9,5,0,0,0,-3,0,0,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Kara-France,Amir Albazi,0,1,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 47 - 48. Mike Bell 48 - 47. Sal D'amato 47 - 48.,Flyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,5,8,8,1,-2,7,10,5,-1,3,7,0,0,0,0,-1,0,0,-1.016666667,5,13,0,0,5,13,2,0,3,5,0,0,0,0,-1,0,0,-0.283333333,15,3,9,-1,6,4,5,0,1,1,0,5,0,0,-1,-1,0,-2.816666667,-8,-34,-1,-2,-7,-32,-8,-3,4,-8,1,0,0,1,0,0,0,0.183333333,19,43,3,2,16,41,4,10,2,17,-1,0,0,0,-3,0,0,-0.883333333
Alex Caceres,Daniel Pineda,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 28 - 29. Junichiro Kamijo 28 - 29. Derek Cleary 28 - 29.,Featherweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,18,15,8,2,10,13,8,5,-3,1,5,4,0,-1,-4,-1,0,2.766666667,-12,-2,-8,-1,-4,-1,-6,2,0,-1,0,-3,0,-2,-1,0,0,-2.883333333,37,-2,10,0,27,-2,15,16,-4,23,4,0,0,1,-2,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Miller,Jesse Butler,1,0,KO/TKO,1,0:23,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Lightweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,1,2,-4,0,0,2,-4,2,0,0,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Elliott,Victor Altamirano,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 27 - 30. Derek Cleary 27 - 30. Chris Lee 28 - 29.,Flyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-3,12,-10,13,7,-1,8,0,-1,-2,0,9,0,2,0,0,0,4.716666667,14,0,16,2,-2,-2,0,-1,-1,-5,1,2,0,1,1,0,0,2.066666667,40,32,36,20,4,12,4,-1,1,-2,-1,7,0,2,0,0,0,3.366666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karine Silva,Ketlen Souza,1,0,Submission,1,1:45,3 Rnd (5-5-5),Chris Tognoni,Other - Lock On Ground Z-Lock,Women's Flyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,1,3,8,0,1,3,7,1,0,2,2,0,1,0,1,0,1,0,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 29 - 28. Bryan Miner 28 - 29. Ron McCarthy 28 - 29.,Welterweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,5,-22,3,-2,2,-20,2,-3,3,1,1,0,0,0,0,0,0,2.65,1,-10,10,-3,-9,-7,-1,-2,-6,-5,-4,0,0,1,0,0,0,2.233333333,-8,-22,-2,-3,-6,-19,-4,-2,0,0,-6,0,0,0,5,0,0,1.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Santos,Johnny Munoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 27 - 29. Chris Lee 27 - 29. Sal D'amato 27 - 29.,Bantamweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-4,12,-3,0,-1,12,0,-1,0,-2,0,1,0,0,-3,-1,0,2.55,46,17,23,14,23,3,15,6,2,-4,2,25,0,1,-1,0,0,3.6,28,-2,18,-7,10,5,7,2,1,1,1,8,0,1,-2,0,1,3.316666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski,Don'Tale Mayes,0,1,KO/TKO,2,3:17,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Heavyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,2,5,-29,-1,-1,6,-28,0,4,2,7,-1,0,0,0,-1,0,0,0,-7,-2,0,0,-7,-2,-4,1,-4,-5,0,-2,-1,0,0,0,0,-0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Castaneda,Muin Gafurov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Tony Weeks 27 - 29. Chris Lee 27 - 29. Junichiro Kamijo 27 - 29.,Bantamweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,4,-8,7,1,-3,-9,-3,-2,2,-1,-4,2,1,0,-3,0,0,0.666666667,-19,-33,-5,-1,-14,-32,-9,-4,-1,-5,-9,0,0,1,1,0,0,-0.566666667,-8,-19,-4,-12,-4,-7,-3,-1,0,-4,0,0,0,2,-1,0,0,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Mullarkey,Muhammad Naimov,0,1,KO/TKO,2,2:59,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Lightweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,2,6,3,-1,0,7,3,-2,7,2,2,5,0,0,2,3,0,0,1.683333333,4,-12,0,1,4,-13,0,2,2,5,4,-5,-1,1,1,0,0,0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Reed,Jinh Yu Frey,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Bryan Miner 28 - 29. Ron McCarthy 28 - 29. Mike Bell 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,20,9,17,6,3,3,-5,6,2,1,2,0,0,-2,-1,0,0,-1.65,19,-5,7,1,12,-6,5,3,4,10,2,0,0,-1,-1,0,0,-1.366666667,13,4,3,-3,10,7,1,8,1,8,2,0,0,0,-1,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da'Mon Blackshear,Luan Lacerda,1,0,KO/TKO,2,3:54,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Bantamweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,2,24,15,11,2,13,13,6,-1,8,5,5,3,0,0,0,-1,0,1.15,30,22,5,2,25,20,20,3,2,8,0,17,0,0,-2,0,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipe Lins,Maxim Grishin,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Mike Bell 28 - 29. Adalaide Byrd 27 - 30.,Light Heavyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-6,12,-7,0,1,12,-1,6,-4,1,0,0,0,0,-1,0,0,1.633333333,-24,6,-22,1,-2,5,1,2,-5,0,-2,0,0,1,1,0,0,2.55,-23,3,-28,-2,5,5,2,3,0,6,-1,0,0,0,-1,0,0,3.616666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Dern,Angela Hill,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Ron McCarthy 43 - 49. Sal D'amato 44 - 49. Mike Bell 44 - 49.,Women's Strawweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,5,22,11,11,-4,11,15,14,-3,0,4,2,5,1,0,1,0,0,2.1,-10,14,-5,0,-5,14,3,-10,2,8,-13,0,0,0,3,0,0,-3.55,67,5,38,3,29,2,28,1,0,5,0,24,0,1,1,0,0,2.316666667,-41,18,-38,-5,-3,23,-11,6,2,7,9,-19,0,0,1,0,0,-2.583333333,71,4,47,4,24,0,26,-2,0,5,0,19,0,1,0,0,0,4.633333333
Edmen Shahbazyan,Anthony Hernandez,0,1,KO/TKO,3,1:01,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Mount,Middleweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,10,5,0,0,10,5,4,6,0,6,4,0,0,-1,-6,-1,0,-2.1,-34,-7,-10,0,-24,-7,-18,-3,-3,-4,-1,-19,0,-3,-3,-2,0,-3.6,-20,-4,-1,-2,-19,-2,-20,1,0,0,0,-19,0,-1,0,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
