Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Gian Villante,Saparbeg Safarov,1,0,KO/TKO,2,2:54,3 Rnd (5-5-5),Keith Peterson,Punches to Head At Distance,Light Heavyweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,2,7,-33,3,0,4,-33,4,-3,3,-6,0,10,1,0,0,0,0,0.183333333,29,-13,10,0,19,-13,15,-1,5,11,8,0,0,0,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justine Kish,Ashley Yoder,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Doug Crosby 28 - 29. Dominic Carolei 28 - 29. Cardo Urso 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,2,-10,-7,0,9,-10,-3,6,6,2,7,0,0,-1,0,0,0,0.7,-22,-10,-17,-4,-5,-6,-10,2,3,0,0,-5,0,0,0,1,0,2.083333333,2,-1,-1,-1,3,0,-1,-1,5,3,-1,1,0,1,-1,0,-1,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Brown,Brian Camozzi,1,0,KO/TKO,2,1:25,3 Rnd (5-5-5),John McCarthy,Knee to Head In Clinch,Welterweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,2,16,10,0,0,16,10,11,6,-1,6,1,9,0,1,0,-1,0,3.733333333,21,6,6,0,15,6,16,0,-1,1,10,4,1,0,-3,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Gigliotti,Gerald Meerschaert,0,1,Submission,1,4:12,3 Rnd (5-5-5),Todd Ronald Anderson,Anaconda Choke On Ground,Middleweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,1,-12,-6,-3,-1,-9,-5,-11,0,2,-3,-3,-3,0,1,-2,-1,0,-0.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Sanchez,Trevor Smith,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Doug Crosby 27 - 30. Glenn Trowbridge 27 - 30. Cardo Urso 27 - 30.,Middleweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,16,19,0,-1,16,20,13,6,-3,7,9,0,0,0,0,0,0,0.033333333,-3,27,0,0,-3,27,14,-10,-7,5,-8,0,0,0,0,0,0,0,0,1,0,-2,0,3,7,-3,-4,5,-4,-1,0,0,-2,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago dos Santos e Silva,Shane Burgos,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Doug Crosby 26 - 30. Dominic Carolei 28 - 29. Derek Cleary 27 - 29.,Featherweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,0,-8,-6,-11,6,3,3,4,-1,4,2,0,0,1,6,0,0,1.616666667,-23,6,-5,-1,-18,7,-18,0,0,-1,-6,-11,-1,0,4,0,0,-0.55,-7,17,-2,-1,-5,18,-14,2,7,-4,1,-2,0,-1,1,0,0,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Perez,Marc Diakiese,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Dominic Carolei 28 - 29. Glenn Trowbridge 28 - 29. Cardo Urso 28 - 29.,Lightweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,-4,2,-8,-1,4,3,-1,1,4,5,0,-1,0,-4,-2,0,0,-3.45,11,6,3,0,8,6,5,1,2,2,1,5,0,1,1,0,0,3,-18,-4,-17,-1,-1,-3,-2,-1,2,1,-1,-1,0,-2,-4,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Berish,Ryan Janes,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Doug Crosby 28 - 29. Glenn Trowbridge 28 - 29. Derek Cleary 28 - 29.,Middleweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,-4,-13,0,0,-4,-13,-1,-6,3,-2,-2,0,0,0,1,0,0,0,-6,-6,0,0,-6,-6,-7,0,1,-6,0,0,0,0,1,0,0,0,-21,-12,-10,-6,-11,-6,-8,-3,0,-10,0,-1,0,2,1,0,-1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Lima,JJ Aldrich,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dominic Carolei 27 - 30. Cardo Urso 27 - 30. Derek Cleary 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",12/9/16,3,5,9,-5,2,10,7,5,4,1,0,4,6,0,1,1,0,0,2.683333333,-24,6,-22,1,-2,5,-3,-4,5,6,-6,-2,0,2,1,0,0,2.033333333,-2,6,-19,0,17,6,7,2,8,10,7,0,0,1,0,0,0,1.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrious Johnson,Tim Elliott,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Junichiro Kamijo 46 - 49. Jeff Mullen 46 - 49. Sal D'amato 45 - 49.,UFC Flyweight Title Bout,The Ultimate Fighter: Tournament of Champions Finale,"Las Vegas, Nevada, USA",12/3/16,5,-14,-2,-9,-2,-5,0,-4,-3,2,1,-6,0,0,1,1,-2,0,-1,-6,-8,-10,-2,4,-6,2,0,2,2,1,1,0,0,0,0,0,3.883333333,-7,-4,-6,-5,-1,1,-2,-1,2,1,-2,0,0,0,0,1,0,2.533333333,20,5,15,0,5,5,4,0,1,0,0,5,0,1,-1,2,-1,0.233333333,-4,-3,-5,0,1,-3,1,0,0,0,0,1,0,-1,1,0,1,3.416666667
